Município: GUARANTA DO NORTE, (null), Latitude: None, Longitude: None
Município: ORTIGUEIRA, PR, Latitude: -24.2088891, Longitude: -50.925043
Município: PALMEIRA, PR, Latitude: -25.4269718, Longitude: -49.9987787
Município: PALMITAL, PR, Latitude: -24.8842985, Longitude: -52.2113941
Município: PALOTINA, PR, Latitude: -24.2839929, Longitude: -53.8405463
Município: PARANAGUA, PR, Latitude: -25.5148822, Longitude: -48.5226695
Município: PARANAVAI, PR, Latitude: -23.08165, Longitude: -52.461724
Município: PATO BRANCO, PR, Latitude: -26.2295984, Longitude: -52.6712474
Município: PAULA FREITAS, PR, Latitude: -26.2092739, Longitude: -50.936462
Município: PAULO FRONTIN, PR, Latitude: -26.0399524, Longitude: -50.8337759
Município: PEABIRU, PR, Latitude: -23.9142123, Longitude: -52.3455598
Município: PEROLA, PR, Latitude: -23.8031666, Longitude: -53.6824972
Município: PEROLA DOESTE, PR, Latitude: None, Longitude: None
Município: PINHAIS, PR, Latitude: -25.4443488, Longitude: -49.1900307
Município: PIRAQUARA, PR, Latitude: -25.4423273, Longitude: -49.0604473
Município: PLANALTO, PR, Latitude: -25.7184492, Longitude: -53.767216
Município: PONTA GROSSA, PR, Latitude: -25.0891685, Longitude: -50.1601812
Município: PALMAS, PR, Latitude: -26.483868, Longitude: -51.988812
Município: NOVA SANTA ROSA, PR, Latitude: -24.468132, Longitude: -53.9547649
Município: PORTO VITORIA, PR, Latitude: -26.1605673, Longitude: -51.2239397
Município: NOVA LONDRINA, PR, Latitude: -22.7633621, Longitude: -52.9875908
Município: MARIALVA, PR, Latitude: -23.4820987, Longitude: -51.795788
Município: MARILANDIA DO SUL, PR, Latitude: -23.7462425, Longitude: -51.3021452
Município: MARINGA, PR, Latitude: -23.425269, Longitude: -51.9382078
Município: MARMELEIRO, PR, Latitude: -26.1472, Longitude: -53.026741
Município: MARQUINHO, PR, Latitude: -25.1133759, Longitude: -52.2581854
Município: MARUMBI, PR, Latitude: -23.7070343, Longitude: -51.6408276
Município: MATELANDIA, PR, Latitude: -25.2404183, Longitude: -53.9835004
Município: MATINHOS, PR, Latitude: -25.8187344, Longitude: -48.5342813
Município: MAUA DA SERRA, PR, Latitude: -23.9045517, Longitude: -51.2261166
Município: MEDIANEIRA, PR, Latitude: -25.2954233, Longitude: -54.0940666
Município: MERCEDES, PR, Latitude: -24.4504957, Longitude: -54.1647255
Município: MORRETES, PR, Latitude: -25.4770051, Longitude: -48.8321911
Município: NOVA AURORA, PR, Latitude: -24.5282336, Longitude: -53.2576703
